number,image,sender_id,label,size,price
63,21183cf1-c20b-4a86-8e86-ab5ca9b26c06,178,Longsleeve,medium,839
64,4eec8a60-15db-46d0-86b4-04e3cd8e75f8,119,Longsleeve,medium,363
65,09f4ffb6-ed86-42b6-ac23-6f8f2359460f,150,Shirt,medium,834
66,46e76b5f-85cb-4dab-a45c-3c1ea74576f3,100,T-Shirt,medium,520
67,87f0405b-bdea-4e8a-a0bf-5199dd1a158c,194,T-Shirt,medium,592
70,d9e84490-185d-48f9-ac16-4ef3360616d5,164,Longsleeve,large,272
71,276db6ba-6a50-499f-8a3d-7ede222493df,57,Pants,medium,103
72,9d433006-cfa0-41e8-8a5a-0d80d50a73e4,14,T-Shirt,medium,953
73,9b4aa622-dab1-4d43-abc5-e736e0f600fc,3,Pants,medium,739
74,cb61ac26-e7a5-42a6-8471-66f69a9ccd4d,252,Dress,medium,571
75,fbb54104-ee0f-4180-9216-2696f9df52a5,171,T-Shirt,medium,209
76,b7935371-743f-4ad4-9a48-fdb9d0bca9e4,0,Shoes,medium,966
77,081b5ec1-13a6-43c8-991f-9ad2020f646a,129,Pants,large,136
78,21059bce-cf86-4064-b9af-5dbbbc6e7593,178,Dress,large,682
79,07349830-408d-42b7-baeb-35ad9a21c6bf,327,T-Shirt,medium,900
83,bfb072bd-4378-47d5-ad94-e11e367fbdd0,168,Longsleeve,small,110
84,8b6ef17f-0669-40fa-935f-6a6e44fd348d,35,T-Shirt,small,443
85,f6cdc0f4-9615-4e0c-a22b-6972f6fb4e1a,342,Pants,medium,939
88,37ca3848-62c1-4e3c-a672-5627f2270c95,327,T-Shirt,medium,265
89,7dc1ee94-a507-4160-96d4-276364e31c3c,150,Shoes,small,799
91,1a837d72-8a6b-487b-aa36-b3c2d19a8af5,240,Shorts,small,581
92,dd4a72e6-a2c8-48ec-8cee-07ca47282f58,266,Shorts,small,118
93,314125df-9112-48b9-9b5e-ad6c4130eee5,144,Shorts,large,727
94,334bc6ef-fc89-4226-90f3-dd63645ec845,301,Dress,small,283
96,e976a8f6-6731-485f-8a9a-2872a5208818,226,T-Shirt,small,644
99,5909f313-edfd-4d94-9cdb-3a05e02bb926,184,T-Shirt,small,291
100,b6899eaa-fe32-4547-9217-05bbcb09c217,154,Hat,large,419
101,9e530520-3973-44d0-b630-e213c809b854,167,Skirt,large,801
102,598fb3d5-2ffc-44f1-af7a-1346edafc364,149,Shoes,large,679
105,8b719bfa-919d-45c1-a83e-86ceec917c41,351,T-Shirt,large,736
106,f28fb711-b7bf-4d6e-9935-6970a311a14e,174,Dress,small,526
107,4dc09b5c-9009-4e75-8432-150b0fab4aac,141,Shoes,large,947
108,8d5b6ef2-bc6f-4364-a278-580a5d91c7d7,103,T-Shirt,small,158
111,d3dae2c8-5333-4943-b709-2dca57bf9554,78,T-Shirt,medium,595
112,51c73057-ed52-4bf3-afa8-34a015301565,78,Shoes,small,886
115,e2dfcb33-19ba-4c82-998b-66f125086e63,232,Shoes,medium,364
116,c905b7cc-a17a-4c75-b451-87292b51f73a,175,Pants,small,108
117,8a7353cf-f8e3-4a73-b72e-239ed04d4e2d,113,Skirt,large,556
119,f97dba0a-37f7-452b-9159-90d4d6757473,304,Pants,medium,372
122,e527e508-fe15-4369-a497-0134a03c755d,357,T-Shirt,medium,307
126,8ec6a809-a037-4f2e-b7a8-2361ad62a3af,316,T-Shirt,large,612
127,456578a1-8a2e-4906-85a4-c93ceef8c108,278,Shorts,small,303
129,ea3e5f1b-6987-4b1e-88f9-03659eba4dc7,256,T-Shirt,medium,908
130,01c5cb43-4ce1-4d08-8b71-c0a20ba94a63,292,Shoes,large,616
131,7e3b8120-6f91-4ddc-aa6f-cf49a5dc62aa,285,Longsleeve,small,542
132,2d6afa47-fd6f-4b2b-9e51-010280547753,187,Hat,small,691
133,b951618d-f10d-4c12-82a4-9b18ee12aa2c,150,Shirt,medium,885
134,82878359-5004-44b9-8a93-6234169793a4,174,Dress,large,788
135,8b82657d-eb42-4468-a073-2513eb0d40f1,70,T-Shirt,large,949
137,349cf35c-eaad-49af-b0c9-3c88b8d0afc1,153,Longsleeve,large,438
139,4cb4760c-7685-4aa7-9338-6ffbc011f353,245,Shoes,small,544
140,2fb12663-3f0a-407f-8bdf-e366d62d459a,82,T-Shirt,large,235
143,2f0b7b04-c238-465b-8e7a-08fabec28223,215,Pants,medium,605
147,708af227-43ba-4e2b-b35b-652a13cd1c77,33,Hat,large,437
151,9e61d8c2-aaf7-4d5e-b07e-804b082bcf88,301,Longsleeve,small,644
154,e396a61a-8045-4565-a6f1-a89cd5aab7f3,3,T-Shirt,small,992
156,bc13e811-2e4f-43ed-859e-80de2745ed12,367,Shorts,large,883
157,05004de9-8929-45b4-92a6-c881be04e5cc,166,Longsleeve,small,947
158,af5c0e7c-d950-4e6f-88ac-642a41a27b75,153,Skirt,small,594
160,0098b991-e36e-4ef1-b5ee-4154b21e2a92,10,Pants,large,524
161,afc40786-a90b-48ed-a78f-dfb8833d065d,43,Pants,large,746
162,0d3cf39f-78f1-440e-9504-f510e75aff0b,158,Dress,medium,945
163,e69c6c4d-5c8f-4b4b-866d-7c3917ff2a5e,212,Dress,medium,846
164,ae36221d-b2d9-4508-ac54-fc74951133b8,216,Longsleeve,medium,536
166,c6d71611-6bae-4645-8a93-959973e05f8b,259,Shirt,medium,467
167,8f0c3bd9-5784-4268-b5ee-020122a0dcd3,57,Pants,small,444
169,980bcf05-03b4-4628-806e-fd141f92fe82,43,Longsleeve,medium,649
170,ff231d91-0ff6-4485-98e7-a05c26f09fec,65,Outwear,medium,761
171,44bf7760-a7c2-41c2-9eb4-1d12bd5c235c,209,Outwear,medium,919
172,a9db59ad-5a9c-4c5d-9a5a-a8aed629cc23,201,Hat,large,640
173,42d817a7-45f8-4dfc-848f-a8cb124e1878,186,Outwear,medium,243
174,9ff5041a-81d2-417c-b6a0-453a2b6b1052,82,Pants,large,687
177,1823c84a-dc6f-4edc-ae75-b54303132369,178,Longsleeve,medium,675
180,52889e96-b086-4375-92ba-9bd2ddb26fb9,293,Pants,small,368
181,68fc2f45-6c5d-4a57-a3e7-2f6a72a4c486,292,T-Shirt,large,939
182,35f5fecb-755a-45d6-ac3d-3feb8299dc87,3,Dress,medium,795
183,d90835e2-e433-4c1b-a43f-4a6ba0f9617a,47,T-Shirt,small,872
185,5ab0c815-c152-4726-b540-42876b23c34a,129,Dress,small,268
186,9cc98501-cd54-446f-aabd-035eed242b9d,316,T-Shirt,large,870
191,cbfb5bb7-3b89-4976-9a8b-f7601f851d39,72,Outwear,medium,661
192,22ee2330-a2e7-4abf-aec1-0699e819a248,174,Dress,small,539
193,c3eaa0a4-4c21-4960-949d-3bfbbd99beaf,73,Longsleeve,small,591
195,805a7767-cec7-4323-9a75-6c5c2024479d,153,Skirt,medium,588
197,2ac96388-4353-44b6-a174-de2f2523afd1,218,Skirt,large,128
200,66807c84-da44-4af2-b9be-3848a52a7073,201,Hat,small,711
201,0fe5eeb6-316f-4f60-b604-8a1b25e23433,166,Pants,medium,272
202,f744c13f-1b8f-44ef-a45c-4b8e65771901,245,Shoes,small,116
204,a021443c-ab32-41ff-8df5-cf24f6c5402c,359,T-Shirt,medium,325
207,ae2a9947-7009-40ab-b7ad-0434e73eb2f3,77,Shoes,large,296
209,26fca408-4412-466b-972a-3a160051534a,215,Hat,small,934
210,4e6276b7-564c-4a32-9218-13cfc9148263,142,Pants,small,122
211,9e19f45b-b7d4-4988-948b-0bcda7d83df7,65,Longsleeve,small,705
212,76649754-ab0b-44ef-a9b6-8f42f7e91047,168,Shoes,large,853
214,bc492f26-f7d2-4065-92fb-65b6df7b4ea5,78,Shirt,medium,665
215,39f48611-8f45-4c3d-956f-03490892aaa9,116,T-Shirt,medium,237
216,a5ff9c3a-272f-4f7e-9cb9-e6d848dc4c2c,365,T-Shirt,medium,572
218,7d2cef93-2a52-4462-9b3c-4571c7cf3e0a,319,T-Shirt,small,883
219,4997d170-1266-4b3b-9a16-37322c9fb2ba,163,Longsleeve,small,652
220,d97a270c-9349-45f7-a06f-dfaf4f17c495,67,T-Shirt,small,709
222,7ee4f3fd-6dc3-4b71-901f-9ccbbf8cad80,78,Outwear,medium,739
223,a685a9b1-c4af-4302-be13-27ef25d178b5,167,Pants,medium,328
224,52a47d7f-8a47-4c57-8d72-d269d8106aa2,80,Shorts,small,416
225,157f5e09-784d-45c8-a6bd-6029920ef0fd,16,Shorts,medium,697
227,3da1c365-4f2c-4411-b34c-f0247232fcd7,33,T-Shirt,large,820
228,1ffb85c6-dbf3-4a01-8e62-49c0be6f0d59,128,T-Shirt,large,826
229,3f76d021-c94f-499f-9607-8f24fa1e526b,77,Pants,large,985
230,49eb3fa7-099d-45e8-88b0-35b60b42e386,356,Pants,large,711
231,ba510e07-0c92-4764-9b4f-d9b12560d1f6,256,Pants,small,660
232,2459a9ab-b654-4aef-be7c-89340da78cec,155,Skirt,large,300
233,967cd983-84e9-4812-ab2e-bdf67cc85051,74,Pants,medium,357
234,451b4318-6015-4a82-99b2-4a7e3b467382,240,Shorts,small,579
236,8b6de4c0-3f40-476d-bad4-a4ee3275176e,168,Shoes,medium,277
237,29e6297b-0d6c-49c6-8513-dc64b7b979f5,229,Shorts,medium,856
238,43ac2647-95bc-4174-b9c1-0518a5024ed2,178,Outwear,large,222
240,c575d614-707d-47f6-80b2-ecfe64ea9053,162,Shoes,small,270
241,a04786b1-80e1-4e10-903a-36ca728c9b53,62,T-Shirt,small,944
242,b1299dd2-18e7-4d59-a7dc-f6eb14686572,0,Shoes,large,747
244,57ee8ecc-e2ca-497a-9bf2-7fafcbc794fa,47,T-Shirt,small,804
245,dd0ff00d-5ce3-4150-b4ee-05da2c0a6555,217,Dress,large,564
247,831e024c-83b5-4f66-b9ad-4cd85e6454d4,319,T-Shirt,large,359
249,70731fd8-417c-4d20-94c5-56cf17a7178e,5,Hat,large,194
251,e2d65ea7-508f-4e4e-a646-e1406ff92e03,367,Shorts,large,140
252,b8b0c023-1fcf-4f16-aeb7-9687f917cd92,120,T-Shirt,large,990
253,10e7ed9b-3700-417a-a085-f31eaad50c0c,281,T-Shirt,small,353
256,b9a10398-fdc0-425d-ac63-3b80b45eb899,33,Shorts,medium,827
257,7f3e1f42-5068-4fde-9355-f27c25423bb8,153,Shoes,small,610
258,19088710-43ac-467e-85c9-e1094db4f499,278,T-Shirt,large,680
259,dc458dbc-5d9d-47d1-bb39-f0d3f3327574,9,T-Shirt,small,168
261,7cd2e634-94bf-43f8-a95b-a840e7f79bf1,154,Hat,medium,641
263,c5924c48-00cc-43bd-b8a3-300a1ae7551f,102,Pants,large,361
264,db5aab31-c7a7-4459-9751-028dfafc9cb9,293,Shoes,medium,188
265,5846855b-5c89-430c-ba57-d1bed5cec856,232,Shoes,medium,307
266,ad0352de-3584-4ed7-8e80-083908297db8,42,Shoes,large,312
267,a1a6c91d-9eb1-4e2f-a5b8-3b7f0a6bf67f,201,Shorts,large,933
268,e246f68a-44bb-4d02-ad51-d9829cc94df1,215,T-Shirt,medium,365
269,d53159b1-2e6b-409b-9470-a901bd593dcb,214,Shoes,small,392
271,78b7da73-ca6c-4e99-b88d-a9f358e7f0f2,287,Skirt,medium,432
273,6bedb1ea-9f80-4d65-bca8-7709d34ffb5e,168,Shirt,medium,387
274,ed22b4d2-a0ba-406d-8107-dc98a196cbcc,130,Shorts,small,146
275,b911d68f-dfea-45fd-b66b-6c2bac08c642,169,Shorts,small,721
276,5ea28e5a-f527-4954-b17c-a129b64e3f77,168,Longsleeve,large,299
277,6567c49d-5cd4-44b2-9824-5c8f4caed18f,66,T-Shirt,large,526
280,014b2a1b-c5a0-469b-b115-bc02b2001db5,154,Hat,large,519
284,78334dc5-2c60-48f8-a665-5d33e357c2d5,306,T-Shirt,small,452
285,808694ff-b6de-4f50-a107-a2ab0de65192,111,Shorts,large,256
286,14d9f39c-48f5-4da6-bea4-b9f8b94633ed,138,Hat,small,360
287,33a07241-01ee-4e64-97f6-e0cc65ae4f5c,292,Shoes,medium,176
289,69d17114-7365-41d1-a1f8-951a53a0683d,32,T-Shirt,large,587
290,14e754c0-a104-47be-b038-7b1e46068caa,20,Shorts,medium,230
291,0546d34a-a369-4723-8d3a-74c0f51af26c,218,Dress,small,678
292,e46a8690-75bc-46b4-bdde-fef6437d994f,237,Shorts,large,554
293,e84c82c0-c1f9-487a-8e98-104e4c218e07,34,T-Shirt,small,839
295,cec644db-b07c-4420-8199-f5bdd8ea3f83,218,Skirt,medium,114
297,a9894b31-1487-46e2-9a87-c831058b4798,103,T-Shirt,medium,294
300,b8ffc654-326d-4a02-93d7-c9b20732b1e0,222,Longsleeve,large,458
301,19b8f13e-9f17-4fcc-a4cd-7496672b1675,215,Hat,small,949
302,a9c5f50d-abad-46f0-9bc1-4cef08015143,274,Hat,small,430
303,a09d821a-cfa4-4dcb-b734-e45515b3ead0,158,Dress,small,526
305,a21a0c36-6e58-4419-8139-8346e3635c6b,215,T-Shirt,medium,927
306,e1b266de-a3b0-4ff6-92c3-7302bc57b9cb,356,Shirt,small,585
307,099de1d5-7422-4230-b11b-fe581139b82c,33,T-Shirt,large,907
308,cfc50433-e50a-442b-b7e0-273e17a4edad,31,Pants,large,548
310,34c94dfc-1234-42f7-8f34-5ded0f654860,290,Shoes,small,429
312,d4825958-1013-4e12-b56c-3d88193cc5d7,47,Shorts,large,988
314,2b66fdb1-33dd-445f-a422-b17fbe543483,142,Dress,large,358
315,823f659c-e2eb-4402-9125-30b63b8af830,190,T-Shirt,medium,391
317,16e5d441-1398-411e-b013-0374019e32a3,166,Longsleeve,medium,242
318,bbb6d814-4f2e-4311-9d53-ff081cb0d5f6,330,Pants,medium,846
319,20e5a129-ac26-4ec2-9bf1-f63427503929,139,Longsleeve,medium,726
320,d9cf9703-1375-4381-a625-d4ea016cc47c,196,T-Shirt,small,464
321,ef4afaa2-ce6f-4063-83ad-beac8d201e67,82,Shirt,large,189
322,6cbd8a06-b3b2-49ce-893d-13d49d1411be,317,Shorts,medium,819
323,ab3bd520-3337-4ed6-a7eb-d11455385fd3,88,Shirt,large,263
324,5d925e47-bc47-4cce-9096-75af190a3428,369,T-Shirt,large,580
325,547cba07-80cb-43cf-ae23-c7a126a6b766,211,Shorts,medium,183
326,910268c2-a132-4d25-80b1-59812c52e65c,78,Skirt,small,176
327,17225acd-6301-4ffd-b13c-d703db9db078,278,T-Shirt,medium,772
328,c7c0ee49-32c3-4273-b37b-980972e352eb,290,Shirt,small,616
329,6cb41939-b79a-4fad-b0e1-d760f1b4bc77,123,T-Shirt,large,584
331,927451d0-6fc4-4d19-b09f-2a30fe0e3628,232,Shoes,small,702
332,415566a9-f64f-412f-9509-b72d8b8d6c65,178,Dress,small,698
334,fbdddc68-0c17-47fb-a6a4-28f9564f44fb,65,Shoes,large,203
335,20679064-7d30-434b-bd91-a6614f7ceb09,198,Shorts,small,551
336,1ab00c0e-4fc7-45d4-b9af-7d1bd75e1fd9,168,T-Shirt,small,586
337,52242d70-6914-4819-94cd-844e380ffbcb,313,Shirt,medium,438
338,324b3d8f-3a20-4668-b58b-b4083ed1039a,292,Hat,small,786
339,9e578f34-a6df-46f6-80b0-1dfd30b7fa36,148,Dress,medium,665
341,7a9d5c6f-d1b6-42e6-8200-da323a048bc6,17,Shorts,medium,577
343,8adc00dd-1bfc-4c47-9cbb-be32f38a0275,275,Shorts,small,706
344,fce53abd-5937-4881-bb47-2ef68f6da985,131,Longsleeve,small,322
346,b2770ba5-2094-4203-8797-aa863f2cca2c,344,Pants,small,152
347,84e4d60a-a684-4b88-b86e-dfac84cfac92,367,Skirt,medium,176
348,10cb59c5-1b8d-487a-820f-bb7caa7d8a80,332,Shirt,small,817
349,2a774d80-c007-43a7-9c38-85e441274cfc,312,Shirt,large,602
352,702c26ad-76d4-4906-a13f-62fc0af4b083,178,Dress,large,921
353,8713b1fa-9037-4657-8eda-084d4e147dce,125,T-Shirt,small,941
354,6728b4d4-1f7d-4875-8a72-3899f61468cd,125,Pants,small,723
355,16740066-3329-4165-884a-25c42814d590,71,Dress,large,962
356,73ac436f-d222-491e-8603-70bf6f1f6ad9,154,Hat,small,264
357,fbdb72f7-0d7f-4c8b-b8b3-0d90c96bffa7,95,Pants,large,378
358,c4b9d4f5-2a30-481a-8cb5-51ae0fd189de,24,Pants,medium,126
360,7f160564-1b10-4cf0-bb61-5d9af037e898,287,Skirt,medium,317
361,b9b69d8d-2885-4ac1-8408-a5a379e7116e,95,T-Shirt,large,464
362,eb1677ad-53da-4b3f-bced-e5c01a7e64bf,150,Shoes,medium,800
363,22d0ec9a-ff45-4c64-8f2f-76ca9f1ad164,232,Shoes,medium,944
364,411a9780-e825-4bed-b9ce-848927b36638,92,Dress,large,405
366,cf846233-591b-43e6-865c-0365caa69aa5,289,Shoes,medium,118
367,5103e71c-1a7c-4781-966e-4e4aa54514c7,198,Longsleeve,large,356
368,111f6233-f984-46a9-ab6a-13d3c5a3585c,150,Shirt,medium,395
369,51ec2329-7f56-4cec-ae5e-a40b7f79268a,102,T-Shirt,large,121
372,29d70d79-7b4b-402d-a2cd-72962819f515,166,Shorts,large,651
375,4c1acd5c-80bc-4f85-adb4-404f553ca881,111,Dress,medium,794
377,24fcfe3e-4ea1-481e-9f39-37a2edcb2c99,285,Hat,small,820
378,127708b5-72ad-4793-9512-3d33427459bb,82,Hat,small,282
379,208e4ef2-1460-4ba5-9f8a-de05249e5af3,278,T-Shirt,large,534
380,defff3ef-adb7-4919-9abb-ae43c34e36f8,57,T-Shirt,medium,206
381,fca6b5f0-8fd2-446a-a226-117d395f7c9d,76,Longsleeve,large,287
382,8b366b95-1958-4b76-a9c3-f8195f589499,259,Dress,small,875
384,5195e000-d919-4ebb-81b8-1e646224d231,167,Shoes,large,935
385,a0b289ae-458d-434d-8814-32a7699f62e3,171,Hat,medium,942
386,284149a9-e71e-4955-8228-7511fa592bc1,3,Skirt,large,555
389,637a56e4-7fa6-4f75-8859-0f8902461554,53,Skirt,small,997
390,d9218439-14f1-46fa-8c35-f17f112b08fe,348,Shoes,medium,435
391,111f1db6-391c-4a82-b2e8-999a7fbcd886,113,Longsleeve,large,706
392,755595ad-51a0-419f-b132-b412c2523ae4,154,Hat,small,937
393,974964a0-77cc-47b3-a54f-57eea90bb3fe,348,Dress,small,856
394,f50f1ab8-e2b4-4f80-9f83-8cb97b51fdea,232,Pants,small,568
397,6558b3d0-f4e5-425b-a219-7b0df47ca55f,186,Pants,large,502
400,c44623dd-f30a-442c-aaee-ac59bc5297a8,337,Pants,medium,881
403,e73115ee-f4ea-4bc7-be9a-7c030264f7d1,166,Pants,large,911
404,fe21d6e5-b447-4ef4-ae4b-138cbf1a2220,116,T-Shirt,medium,584
405,f53dc5e8-9625-4fb4-85f0-3c773c884545,57,Shirt,large,155
406,fe69a500-595a-4152-856a-5c4e537f8507,174,Dress,small,322
408,53c395a3-94bf-4ad9-be75-3bb3924c2d76,279,Skirt,large,278
410,0c6f89cd-30f6-4b44-bda5-0ba8d90e6717,93,Outwear,small,533
411,993f7adc-d7b4-44c1-9b2d-8c73e6775c59,113,T-Shirt,medium,549
412,be7311c6-84f7-4e59-b0f4-3a94f6ced3f3,201,Hat,medium,892
413,a8f612a6-a966-451b-9dd3-364a4b200dc1,187,Hat,medium,983
414,c224d361-b064-41e3-9c21-45335e840a6f,72,Shoes,medium,591
415,809a0878-3aa0-4364-94d8-d4db70a4ec67,319,Pants,small,288
416,bca5d877-14a4-428c-b031-2354ddf9ae7b,33,T-Shirt,medium,677
417,5a011c0b-7f3c-4118-a64e-ed0d545600d4,318,Shorts,medium,909
418,4998118e-5c47-42ba-8b8f-42c18aa42230,47,Shirt,large,519
419,066d2e84-6701-4bc7-a301-5beb2fed70f0,65,Longsleeve,medium,348
420,16e59add-f4dc-42ed-9d0b-117b82ade746,47,T-Shirt,large,687
421,b5a55ab1-6eac-45b3-a6f6-84b1bbeb3afb,100,T-Shirt,small,748
422,17936ba2-937a-46d8-afa0-0750abdb3200,125,Pants,small,263
423,f11d949d-a141-493b-ad09-b8bbe02ca95d,102,T-Shirt,small,844
424,7ac0ac0e-6c82-4e13-890e-5186a62b7807,95,T-Shirt,small,354
425,e97e3e26-c9de-4a66-95da-ce81c01fe1f0,108,Shorts,large,575
426,96548af1-6efc-4300-a9a4-2d75ee10f6ae,299,Shorts,medium,905
427,e59024f1-7bf9-4fc7-a0c9-e0cf48ae6575,163,Pants,small,516
428,a824deb0-6985-4b11-a987-74d47f5fc33e,150,Shorts,medium,269
429,97c4ebd3-715f-4809-881a-7363ce0da4cb,251,Shorts,large,416
431,69ecd6f7-e2f0-4ae5-9608-7feeb35f932b,139,Hat,large,569
432,b524ee06-ab17-4e0f-8e79-40d12c275d92,55,Skirt,small,444
433,d0ea01b9-6067-41c7-b1ca-b4cfd820ebf5,0,Dress,medium,544
434,1e3ce182-d152-4476-8b6c-be3be197debf,294,Shoes,medium,117
435,ef6be172-3598-490a-9ed2-26babf14c0fe,303,Outwear,medium,169
436,830e54f5-ad81-4b01-a4c9-3c241b45201b,72,T-Shirt,large,437
437,550dd0ec-bdb9-437e-af1a-1c5daaa3f989,256,T-Shirt,small,727
438,69d4e9dd-3176-413f-8bff-fa9f8129e01c,285,Skirt,large,691
439,9de18803-34d3-4737-b958-075a1ffadbc1,113,Shorts,large,626
440,47948bab-d1f7-4116-89d6-89d273c5a610,15,Shorts,medium,787
441,dc8c8cb1-efcd-4a20-afca-79a1869a7352,292,Dress,large,555
443,32c91193-3fe7-48a1-8867-01c55e4f3985,131,Dress,small,730
448,36b4e957-021d-4a48-aaea-25dff54e162c,150,Longsleeve,large,628
449,805beda4-9792-4db9-aab7-3108c5211981,336,T-Shirt,small,533
450,bd1b88bb-457c-463c-8504-cfcd97bc5d51,331,Shirt,small,387
453,21c78c7e-a927-49ea-94d4-9ceeaa847bb2,186,Outwear,medium,540
457,55808c24-c583-4bb5-91a1-6dca3056faf2,165,Skirt,medium,929
459,f0f2606d-dc4c-485c-baef-75b59cf0ce3d,122,Longsleeve,small,640
461,37820224-d7fc-41da-b46f-fe7dd25b125e,78,Longsleeve,small,932
462,48895e87-ae51-4c7e-98ae-2855991264d1,68,Skirt,small,896
463,9b771b16-2700-41ea-8b87-179324fbe107,348,Shirt,small,659
464,7bb0226b-f068-4b46-9e40-1e5110319fcd,305,Shoes,large,616
465,112c0b70-cdf7-4cb2-800f-e4f68f2d7a81,125,T-Shirt,large,861
467,061b697e-086b-48c9-80db-9ecb9b82c64b,237,T-Shirt,medium,602
468,62c7effa-be77-4a26-bb0d-3cf9373ce3ae,52,Outwear,small,813
469,ba9cd233-fff5-44f2-8569-b6ba0667d6a9,344,Pants,large,566
470,2503103d-48e1-4be1-b90e-c2e80b5f1eed,279,Skirt,large,200
471,2c3533f9-2998-4c22-aa81-d0e519cc6669,154,Hat,medium,682
474,e3c2ae0c-6ca2-49a9-9bb4-e2e9346828b0,154,Hat,medium,240
475,e204f303-cd35-448f-b7cb-791b133efa4b,129,Longsleeve,small,237
477,7325c0ac-3515-4181-b13c-7eb35e37c8e3,82,T-Shirt,medium,809
478,5b32191d-85d4-4990-b419-ae928b56597b,242,Outwear,small,939
479,3b67cb0e-eb7c-4f4e-a67a-804ae460932d,163,Outwear,large,327
480,fbb96cbf-6fd6-43e1-bd41-20606dfc1339,122,T-Shirt,small,380
481,2a7c1877-3131-49dd-9712-f78f0da4daf2,66,T-Shirt,medium,783
482,09cd8fdf-bbe9-4908-8f54-f399bc635c9b,18,T-Shirt,medium,927
484,69508b45-ce30-4cb6-93e9-6c672171cf78,33,Shorts,small,139
485,b2ee19d6-93f1-4688-9545-d265887f226f,65,Outwear,medium,618
487,cea1326b-5c4b-4cbb-bb74-cd4c8a2666ef,35,Dress,small,762
488,c72f789c-ccc0-4d12-9b23-8e17f68fd224,150,Shoes,large,310
